lengthscale,noise,outputscale,mll
0.009999999776482582,0.009999999776482582,1.0,-1.4098647832870483
0.009999999776482582,0.013877551071345806,1.0,-1.4104206562042236
0.009999999776482582,0.01775510236620903,1.0,-1.4107308387756348
0.009999999776482582,0.02163265272974968,1.0,-1.411171555519104
0.009999999776482582,0.02551020309329033,1.0,-1.4114059209823608
0.009999999776482582,0.029387755319476128,1.0,-1.4119699001312256
0.009999999776482582,0.033265307545661926,1.0,-1.411512851715088
0.009999999776482582,0.037142857909202576,1.0,-1.4122892618179321
0.009999999776482582,0.041020408272743225,1.0,-1.4113514423370361
0.009999999776482582,0.044897958636283875,1.0,-1.412198543548584
0.009999999776482582,0.048775508999824524,1.0,-1.41236412525177
0.009999999776482582,0.05265305936336517,1.0,-1.4132399559020996
0.009999999776482582,0.05653061345219612,1.0,-1.4132524728775024
0.009999999776482582,0.06040816381573677,1.0,-1.4125170707702637
0.009999999776482582,0.06428571045398712,1.0,-1.413148283958435
0.009999999776482582,0.06816326826810837,1.0,-1.4133585691452026
0.009999999776482582,0.07204081863164902,1.0,-1.4140068292617798
0.009999999776482582,0.07591836899518967,1.0,-1.4139254093170166
0.009999999776482582,0.07979591935873032,1.0,-1.4134577512741089
0.009999999776482582,0.08367346972227097,1.0,-1.4146881103515625
0.009999999776482582,0.08755102008581161,1.0,-1.4147876501083374
0.009999999776482582,0.09142857789993286,1.0,-1.4144062995910645
0.009999999776482582,0.09530612826347351,1.0,-1.4145324230194092
0.009999999776482582,0.09918367862701416,1.0,-1.4156348705291748
0.009999999776482582,0.10306122899055481,1.0,-1.4152590036392212
0.009999999776482582,0.10693877935409546,1.0,-1.4153320789337158
0.009999999776482582,0.11081632971763611,1.0,-1.4155285358428955
0.009999999776482582,0.11469388008117676,1.0,-1.4160805940628052
0.009999999776482582,0.11857143044471741,1.0,-1.4161758422851562
0.009999999776482582,0.12244898080825806,1.0,-1.4165478944778442
0.009999999776482582,0.1263265311717987,1.0,-1.4162933826446533
0.009999999776482582,0.13020408153533936,1.0,-1.41692316532135
0.009999999776482582,0.13408163189888,1.0,-1.4167178869247437
0.009999999776482582,0.13795918226242065,1.0,-1.4176205396652222
0.009999999776482582,0.1418367326259613,1.0,-1.418066382408142
0.009999999776482582,0.14571428298950195,1.0,-1.4174690246582031
0.009999999776482582,0.1495918333530426,1.0,-1.4181716442108154
0.009999999776482582,0.15346938371658325,1.0,-1.4186714887619019
0.009999999776482582,0.1573469340801239,1.0,-1.4190306663513184
0.009999999776482582,0.16122448444366455,1.0,-1.4191917181015015
0.009999999776482582,0.1651020497083664,1.0,-1.4191241264343262
0.009999999776482582,0.16897960007190704,1.0,-1.4193929433822632
0.009999999776482582,0.1728571504354477,1.0,-1.4195636510849
0.009999999776482582,0.17673470079898834,1.0,-1.4204189777374268
0.009999999776482582,0.180612251162529,1.0,-1.4203544855117798
0.009999999776482582,0.18448980152606964,1.0,-1.4209301471710205
0.009999999776482582,0.1883673518896103,1.0,-1.420783281326294
0.009999999776482582,0.19224490225315094,1.0,-1.4214880466461182
0.009999999776482582,0.1961224526166916,1.0,-1.4210954904556274
0.009999999776482582,0.20000000298023224,1.0,-1.4218319654464722
0.030204081907868385,0.009999999776482582,1.0,-1.314123511314392
0.030204081907868385,0.013877551071345806,1.0,-1.3138608932495117
